UNIX Time,Date,Time,Price,Volume,Open,High,Low,Close,MACD (12|26|9)-EMAS,MACD (12|26|9)-EMAF,MACD (12|26|9)-MACD,MACD (12|26|9)-SIGNAL
1464670800,05/31/2016,00:00:00,14.65,357000,14.69,14.86,14.34,14.65,14.78470023,15.58944230,-0.80474207,-0.93501001
1464757200,06/01/2016,00:00:00,14.9,359000,14.68,14.95,14.41,14.9,14.80243865,15.53837250,-0.73593384,-0.89519478
1464843600,06/02/2016,00:00:00,14.99,271500,14.91,15.07,14.77,14.99,14.83129425,15.49775231,-0.66645807,-0.84944744
1464930000,06/03/2016,00:00:00,14.68,342000,14.85,14.95,14.65,14.68,14.80801821,15.43717807,-0.62915986,-0.80538992
1465189200,06/06/2016,00:00:00,14.72,506400,14.62,14.87,14.56,14.72,14.79447695,15.38405377,-0.58957682,-0.76222730
1465275600,06/07/2016,00:00:00,14.72,583300,14.7,14.85,14.59,14.72,14.78301895,15.33486460,-0.55184564,-0.72015097
1465362000,06/08/2016,00:00:00,14.65,495700,14.7,14.81,14.63,14.65,14.76255450,15.28413389,-0.52157939,-0.68043665
1465448400,06/09/2016,00:00:00,14.5,369700,14.62,14.8,14.49,14.5,14.72216150,15.22604990,-0.50388840,-0.64512700
1465534800,06/10/2016,00:00:00,14.1,317800,14.39,14.39,14.06,14.1,14.62644435,15.14263879,-0.51619445,-0.61934049
1465794000,06/13/2016,00:00:00,13.85,415700,14.1,14.14,13.8,13.85,14.50699137,15.04688777,-0.53989640,-0.60345167
1465880400,06/14/2016,00:00:00,13.8,414400,13.89,13.99,13.64,13.8,14.39822347,14.95452571,-0.55630225,-0.59402179
1465966800,06/15/2016,00:00:00,14.01,477800,13.82,14.12,13.82,14.01,14.33849678,14.88456085,-0.54606407,-0.58443024
1466053200,06/16/2016,00:00:00,13.94,410200,13.87,14.02,13.69,13.94,14.27718958,14.81459338,-0.53740379,-0.57502495
1466139600,06/17/2016,00:00:00,13.71,786500,13.9,14.1,13.6,13.71,14.18992965,14.73277164,-0.54284200,-0.56858836
1466398800,06/20/2016,00:00:00,14.05,444700,13.92,14.19,13.78,14.05,14.16840201,14.68219597,-0.51379396,-0.55762948
1466485200,06/21/2016,00:00:00,13.96,280100,14.14,14.31,13.86,13.96,14.13634016,14.62869997,-0.49235981,-0.54457555
1466571600,06/22/2016,00:00:00,13.67,347100,14.07,14.14,13.63,13.67,14.06459552,14.55768516,-0.49308964,-0.53427836
1466658000,06/23/2016,00:00:00,13.94,575000,13.78,14.11,13.7,13.94,14.04542698,14.51193070,-0.46650372,-0.52072344
1466744400,06/24/2016,00:00:00,13.41,1923900,13.5,13.63,13.25,13.41,13.94766898,14.43030620,-0.48263722,-0.51310619
1467003600,06/27/2016,00:00:00,12.61,720500,13.15,13.25,12.46,12.61,13.74187375,14.29546871,-0.55359495,-0.52120395
1467090000,06/28/2016,00:00:00,12.89,465000,12.76,13.02,12.7,12.89,13.61081625,14.19135991,-0.58054366,-0.53307189
1467176400,06/29/2016,00:00:00,13.32,259600,13.06,13.37,12.95,13.32,13.56607529,14.12681474,-0.56073944,-0.53860540
1467262800,06/30/2016,00:00:00,13.65,757900,13.34,13.67,13.31,13.65,13.57898679,14.09149513,-0.51250834,-0.53338599
1467349200,07/01/2016,00:00:00,13.7,338600,13.62,13.87,13.56,13.7,13.59760420,14.06249549,-0.46489128,-0.51968705
1467694800,07/05/2016,00:00:00,13.64,338100,13.59,13.7,13.5,13.64,13.60412663,14.03119952,-0.42707289,-0.50116422
